dataset,variant,baseline,n_subjects,n_seeds,erpxttn_mean_auroc,erpxttn_seed_sd,mean_delta_baseline_minus_erpxttn,median_delta,sem,wilcoxon_p,wilcoxon_p_fdr,rank_biserial_effect
ERP CORE P300,full,xdawn_rg,40,1,0.6998,0.0039,0.0225,0.0218,0.0093,0.015266838387105963,0.04580051516131789,0.4366
ERP CORE P300,full,eeg_deformer,40,5,0.6998,0.0039,0.0807,0.0898,0.0088,3.765308065339923e-10,3.3887772588059306e-09,0.9585
ERP CORE P300,full,epmn,40,5,0.6998,0.0039,0.0327,0.0301,0.008,0.00021920151448284741,0.0006576045434485422,0.6439
ERP CORE P300,3ch,eegnet,40,5,0.6644,0.0045,0.0585,0.0586,0.0094,1.3044336810708046e-07,3.913301043212414e-07,0.861
ERP CORE P300,3ch,xdawn_rg,40,1,0.6644,0.0045,-0.0042,-0.0036,0.0105,0.6463036218483467,0.72709157457939,-0.0854
ERP CORE P300,3ch,eeg_deformer,40,5,0.6644,0.0045,0.0522,0.0665,0.0081,3.489894879749045e-07,3.1409053917741403e-06,0.839
ERP CORE P300,3ch,epmn,40,5,0.6644,0.0045,0.0097,0.0207,0.0066,0.12139880184622598,0.14030593187703744,0.2829
HRI Cursor ErrP,full,eegnet,11,5,0.8502,0.0014,0.0183,0.015,0.0054,0.0029296875,0.004801984610821819,0.9394
HRI Cursor ErrP,full,xdawn_rg,11,1,0.8502,0.0014,0.0189,0.0193,0.0068,0.0244140625,0.054931640625,0.7576
HRI Cursor ErrP,full,eeg_deformer,11,5,0.8502,0.0014,0.0267,0.0232,0.0061,0.001953125,0.00439453125,0.9697
HRI Cursor ErrP,full,epmn,11,5,0.8502,0.0014,-0.006,0.0033,0.0123,0.9658203125,0.9658203125,0.0303
HRI Cursor ErrP,3ch,eegnet,11,5,0.8373,0.002,0.021,0.0079,0.0076,0.0244140625,0.0439453125,0.7576
HRI Cursor ErrP,3ch,xdawn_rg,11,1,0.8373,0.002,-0.0005,-0.0004,0.0057,1.0,1.0,0.0
HRI Cursor ErrP,3ch,eeg_deformer,11,5,0.8373,0.002,0.0143,0.0076,0.0077,0.1474609375,0.22119140625,0.5152
HRI Cursor ErrP,3ch,epmn,11,5,0.8373,0.002,-0.006,-0.0055,0.0034,0.123046875,0.14030593187703744,-0.5455
